Ax,Ay,Az,Gx,Gy,Gz,Label
0.14452958705832267,0.502,0.759,0.49890758335049085,0.49565731899165844,0.49956523216602333,0
0.14463601532567047,0.50125,0.758,0.4989235748110509,0.4955673670260081,0.4986177381278397,0
0.14463601532567047,0.502,0.7585,0.4984038523428489,0.4962689923580808,0.49974713502989404,0
0.14474244359301827,0.5015,0.7577499999999999,0.4988935908225008,0.49607109803365,0.4998690699166645,0
0.14399744572158363,0.501,0.7565,0.49901552570927127,0.49584122078809917,0.4996112076151335,0
0.14452958705832267,0.502,0.7577499999999999,0.49880163992428045,0.4961150745501902,0.4995332492449032,0
0.14431673052362703,0.502,0.759,0.49941131435813274,0.49587120477664925,0.49930537093192234,0
0.14431673052362703,0.503,0.76,0.4988176313848405,0.49605510657309,0.4998091019395643,0
0.14410387398893143,0.50175,0.758,0.498953558799601,0.49555137556544804,0.4989995342487112,0
0.1449553001277139,0.5015,0.757,0.4989235748110509,0.49594716421430957,0.4998390859281144,0
0.14410387398893143,0.50175,0.7585,0.4990914851469315,0.49602512258453985,0.5002968414866461,0
0.14410387398893143,0.50125,0.7577499999999999,0.4988616079013807,0.49530750579190713,0.4996112076151335,0
0.14474244359301827,0.502,0.75875,0.49880163992428045,0.49613106601075024,0.49996102081488486,0
0.14442315879097486,0.5015,0.75925,0.4986337295883998,0.49623900836953067,0.4997631264904541,0
0.1449553001277139,0.50225,0.75875,0.4988775993619407,0.4960391151125299,0.5002968414866461,0
0.14463601532567047,0.50025,0.75625,0.4993353549204725,0.49576526135043886,0.49985507738867446,0
0.14389101745423583,0.5015,0.7565,0.4986497210489599,0.49573527736188877,0.4994273058186928,0
0.14410387398893143,0.50075,0.75825,0.49901552570927127,0.4959031876977694,0.4999770122754449,0
0.14431673052362703,0.5025,0.7585,0.4989995342487112,0.49636094325630115,0.49988506137722455,0
0.14442315879097486,0.5015,0.7595000000000001,0.4987556644751703,0.49622301690897064,0.49956523216602333,0
0.14442315879097486,0.50075,0.7605,0.4990754936863715,0.4961610499993004,0.4995332492449032,0
0.14421030225627923,0.5,0.756,0.4992593954828122,0.49574926988987883,0.4995952161545735,0
0.14410387398893143,0.501,0.75675,0.4991374605960417,0.49550540011633787,0.49967117559223373,0
